Date,AAXN
1/2/2018,26.55
1/3/2018,26.75
1/4/2018,26.83
1/5/2018,26.85
1/8/2018,26.77
1/9/2018,26.82
1/10/2018,26.56
1/11/2018,26.9
1/12/2018,27.56
1/16/2018,27.29
1/17/2018,27.71
1/18/2018,27.44
1/19/2018,27.48
1/22/2018,27.47
1/23/2018,27.45
1/24/2018,27.21
1/25/2018,27.52
1/26/2018,27.48
1/29/2018,27.41
1/30/2018,27.36
1/31/2018,26.46
2/1/2018,25.84
2/2/2018,25.82
2/5/2018,25.03
2/6/2018,25.15
2/7/2018,25.95
2/8/2018,25.32
2/9/2018,25.28
2/12/2018,25.61
2/13/2018,26.84
2/14/2018,27.92
2/15/2018,28.4
2/16/2018,28.74
2/20/2018,28.07
2/21/2018,28.1
2/22/2018,28.19
2/23/2018,28.58
2/26/2018,28.16
2/27/2018,27.25
2/28/2018,34.83
3/1/2018,37.69
3/2/2018,38.75
3/5/2018,38.28
3/6/2018,39.09
3/7/2018,39.77
3/8/2018,39.79
3/9/2018,39.86
3/12/2018,39.42
3/13/2018,39.35
3/14/2018,39.01
3/15/2018,38.62
3/16/2018,37.97
3/19/2018,37.4
3/20/2018,38.36
3/21/2018,38.8
3/22/2018,38.55
3/23/2018,37.9
3/26/2018,38.72
3/27/2018,38.63
3/28/2018,37.92
3/29/2018,39.31
4/2/2018,39.48
4/3/2018,42.4
4/4/2018,41.98
4/5/2018,42.86
4/6/2018,41.84
4/9/2018,41.31
4/10/2018,42.09
4/11/2018,42.78
4/12/2018,43.1
4/13/2018,42.79
4/16/2018,42.97
4/17/2018,43.01
4/18/2018,42.74
4/19/2018,42.99
4/20/2018,42.7
4/23/2018,42.74
4/24/2018,42.8
4/25/2018,43
4/26/2018,42.74
4/27/2018,41.61
4/30/2018,41.98
5/1/2018,41.51
5/2/2018,41.99
5/3/2018,41.44
5/4/2018,44.55
5/7/2018,44.93
5/8/2018,44.65
5/9/2018,54.62
5/10/2018,55.44
5/11/2018,57.26
5/14/2018,56.99
5/15/2018,54.54
5/16/2018,54.33
5/17/2018,57.12
5/18/2018,57.95
5/21/2018,59.65
5/22/2018,61.72
5/23/2018,59.8
5/24/2018,62.08
5/25/2018,63.01
5/29/2018,63.97
5/30/2018,63.74
5/31/2018,63.68
6/1/2018,65.3
6/4/2018,66.07
6/5/2018,67.06
6/6/2018,67.9
6/7/2018,63.53
6/8/2018,65.28
6/11/2018,65.2
6/12/2018,65.28
6/13/2018,64.88
6/14/2018,63.67
6/15/2018,64.4
6/18/2018,66.13
6/19/2018,65.54
6/20/2018,68.45
6/21/2018,67.05
6/22/2018,67.65
6/25/2018,61.97
