Date,INVE
1/2/2018,3.33
1/3/2018,3.36
1/4/2018,3.4
1/5/2018,3.42
1/8/2018,3.35
1/9/2018,3.3
1/10/2018,3.32
1/11/2018,3.36
1/12/2018,3.48
1/16/2018,3.56
1/17/2018,3.64
1/18/2018,3.72
1/19/2018,3.83
1/22/2018,3.82
1/23/2018,3.84
1/24/2018,3.89
1/25/2018,3.84
1/26/2018,3.84
1/29/2018,3.81
1/30/2018,3.76
1/31/2018,3.7
2/1/2018,3.75
2/2/2018,3.51
2/5/2018,3.54
2/6/2018,3.83
2/7/2018,3.81
2/8/2018,3.66
2/9/2018,3.66
2/12/2018,3.56
2/13/2018,3.75
2/14/2018,3.8
2/15/2018,3.85
2/16/2018,4.08
2/20/2018,4.23
2/21/2018,4.14
2/22/2018,4.09
2/23/2018,4.07
2/26/2018,3.88
2/27/2018,3.85
2/28/2018,3.87
3/1/2018,3.83
3/2/2018,3.89
3/5/2018,3.83
3/6/2018,3.71
3/7/2018,3.76
3/8/2018,3.68
3/9/2018,3.84
3/12/2018,3.82
3/13/2018,3.69
3/14/2018,3.69
3/15/2018,3.63
3/16/2018,3.71
3/19/2018,3.71
3/20/2018,3.87
3/21/2018,3.87
3/22/2018,3.91
3/23/2018,3.82
3/26/2018,3.72
3/27/2018,3.65
3/28/2018,3.68
3/29/2018,3.74
4/2/2018,3.61
4/3/2018,3.55
4/4/2018,3.54
4/5/2018,3.64
4/6/2018,3.36
4/9/2018,3.47
4/10/2018,3.44
4/11/2018,3.45
4/12/2018,3.41
4/13/2018,3.81
4/16/2018,3.73
4/17/2018,3.63
4/18/2018,3.62
4/19/2018,3.52
4/20/2018,3.54
4/23/2018,3.46
4/24/2018,3.4
4/25/2018,3.48
4/26/2018,3.37
4/27/2018,3.31
4/30/2018,3.36
5/1/2018,3.41
5/2/2018,3.37
5/3/2018,3.39
5/4/2018,3.4
5/7/2018,3.36
5/8/2018,3.38
5/9/2018,3.42
5/10/2018,3.36
5/11/2018,3.85
5/14/2018,3.83
5/15/2018,3.72
5/16/2018,3.75
5/17/2018,3.54
5/18/2018,3.54
5/21/2018,3.89
5/22/2018,3.94
5/23/2018,3.94
5/24/2018,4.02
5/25/2018,4.12
5/29/2018,4.32
5/30/2018,4.27
5/31/2018,4.15
6/1/2018,4.31
6/4/2018,4.38
6/5/2018,4.39
6/6/2018,4.45
6/7/2018,4.41
6/8/2018,4.31
6/11/2018,4.22
6/12/2018,4.18
6/13/2018,4.23
6/14/2018,4.22
6/15/2018,4.26
6/18/2018,4.21
6/19/2018,4.11
6/20/2018,4.33
6/21/2018,4.2
6/22/2018,4.31
6/25/2018,4.28
6/26/2018,4.12
6/27/2018,4.15
6/28/2018,4
6/29/2018,3.87
7/2/2018,3.92
7/3/2018,3.9
7/5/2018,3.97
7/6/2018,3.96
7/9/2018,4.17
7/10/2018,4.34
7/11/2018,4.39
7/12/2018,4.42
7/13/2018,4.46
7/16/2018,4.42
7/17/2018,4.41
7/18/2018,4.5
7/19/2018,4.41
7/20/2018,4.69
7/23/2018,4.84
7/24/2018,4.85
7/25/2018,4.88
7/26/2018,4.9
7/27/2018,4.68
7/30/2018,4.81
7/31/2018,4.72
8/1/2018,4.85
8/2/2018,4.95
8/3/2018,5.1
8/6/2018,5.59
8/7/2018,5.67
8/8/2018,5.2
8/9/2018,5.49
8/10/2018,6.11
8/13/2018,5.99
8/14/2018,6.04
8/15/2018,6.06
8/16/2018,6.23
8/17/2018,6.24
8/20/2018,6.2
8/21/2018,6.1
8/22/2018,6.08
8/23/2018,6.1
8/24/2018,6.1
8/27/2018,6.1
8/28/2018,6.12
8/29/2018,6.23
8/30/2018,6.25
8/31/2018,6.07
9/4/2018,6.27
9/5/2018,6.33
9/6/2018,6.34
9/7/2018,6.46
9/10/2018,6.4
9/11/2018,6.3
9/12/2018,6.29
9/13/2018,6.36
9/14/2018,6.2
9/17/2018,6.25
9/18/2018,6.25
9/19/2018,6.18
9/20/2018,6.24
9/21/2018,5.71
9/24/2018,6.07
9/25/2018,6.03
9/26/2018,6.07
9/27/2018,6.01
9/28/2018,5.96
10/1/2018,6.13
10/2/2018,6.09
10/3/2018,6.15
10/4/2018,5.91
10/5/2018,5.99
10/8/2018,5.71
10/9/2018,5.65
10/10/2018,5.6
10/11/2018,5.59
10/12/2018,5.3
10/15/2018,5.8
10/16/2018,5.91
10/17/2018,6
10/18/2018,6.11
10/19/2018,5.9
10/22/2018,5.83
10/23/2018,5.8
10/24/2018,5.77
10/25/2018,5.7
10/26/2018,5.87
10/29/2018,5.8
10/30/2018,5.99
10/31/2018,5.85
11/1/2018,6
11/2/2018,6.02
11/5/2018,5.95
11/6/2018,6.05
11/7/2018,6.03
11/8/2018,5.98
11/9/2018,6.45
11/12/2018,6.5
11/13/2018,6.13
11/14/2018,6.07
11/15/2018,5.9
11/16/2018,5.73
11/19/2018,5.62
11/20/2018,5.47
11/21/2018,5.46
11/23/2018,5.45
11/26/2018,5.13
11/27/2018,5.14
11/28/2018,5.06
11/29/2018,5.4
11/30/2018,5.28
12/3/2018,5.2
12/4/2018,4.91
12/6/2018,4.95
12/7/2018,4.9
12/10/2018,4.7
12/11/2018,4.51
12/12/2018,4.6
12/13/2018,4.45
12/14/2018,4.25
12/17/2018,4.24
12/18/2018,4.32
12/19/2018,4.1
12/20/2018,4.16
12/21/2018,3.75
12/24/2018,3.8
12/26/2018,3.34
12/27/2018,3.54
12/28/2018,3.56
12/31/2018,3.6
1/2/2019,3.9
1/3/2019,3.9
1/4/2019,4.12
1/7/2019,4.05
1/8/2019,4.34
1/9/2019,4.48
1/10/2019,4.25
1/11/2019,4.49
1/14/2019,5.5
1/15/2019,5.21
1/16/2019,5.71
1/17/2019,5.8
1/18/2019,5.8
1/22/2019,5.4
1/23/2019,5.28
1/24/2019,5.2
1/25/2019,5.35
1/28/2019,5.09
1/29/2019,5.21
1/30/2019,5.57
1/31/2019,5.33
2/1/2019,5.27
2/4/2019,5.56
2/5/2019,5.15
2/6/2019,5.14
2/7/2019,4.82
2/8/2019,4.8
2/11/2019,4.8
2/12/2019,4.78
2/13/2019,4.78
2/14/2019,4.6
2/15/2019,5
2/19/2019,5.99
2/20/2019,5.51
2/21/2019,5.79
2/22/2019,5.68
2/25/2019,5.97
2/26/2019,5.7
2/27/2019,5.63
2/28/2019,5.57
3/1/2019,5.27
3/4/2019,5.44
3/5/2019,5.22
3/6/2019,5.76
3/7/2019,5.9
3/8/2019,5.38
3/11/2019,5.28
3/12/2019,5.04
3/13/2019,5.48
3/14/2019,5.2
3/15/2019,5.16
3/18/2019,5.3
3/19/2019,5.46
3/20/2019,5.5
3/21/2019,5.48
3/22/2019,5.66
3/25/2019,5.65
3/26/2019,5.59
3/27/2019,5.34
3/28/2019,5.35
3/29/2019,5.04
4/1/2019,4.89
4/2/2019,5.06
4/3/2019,4.94
4/4/2019,4.87
4/5/2019,4.94
4/8/2019,4.84
4/9/2019,4.8
4/10/2019,4.75
4/11/2019,4.68
4/12/2019,4.68
4/15/2019,4.7
4/16/2019,4.93
4/17/2019,4.9
4/18/2019,4.9
4/22/2019,4.91
4/23/2019,4.94
4/24/2019,5.02
4/25/2019,4.91
4/26/2019,5
4/29/2019,4.9
4/30/2019,5.15
5/1/2019,5.45
5/2/2019,5.65
5/3/2019,5.53
5/6/2019,5.23
5/7/2019,5.21
5/8/2019,5.35
5/9/2019,5.31
5/10/2019,5.42
5/13/2019,5.33
5/14/2019,5.01
5/15/2019,5.04
5/16/2019,4.98
5/17/2019,5.15
5/20/2019,5.21
5/21/2019,4.91
5/22/2019,5.16
5/23/2019,5.05
5/24/2019,4.98
5/28/2019,5.01
5/29/2019,4.82
5/30/2019,4.9
5/31/2019,4.75
6/3/2019,4.82
6/4/2019,4.93
6/5/2019,4.86
6/6/2019,4.75
6/7/2019,4.85
6/10/2019,4.81
6/11/2019,4.9
6/12/2019,4.9
6/13/2019,4.93
6/14/2019,4.84
6/17/2019,4.73
6/18/2019,4.93
6/19/2019,5
6/20/2019,5.03
6/21/2019,4.82
6/24/2019,4.64
6/25/2019,4.83
6/26/2019,4.93
6/27/2019,4.99
6/28/2019,5.12
7/1/2019,5.32
7/2/2019,4.9
7/3/2019,4.72
7/5/2019,4.96
7/8/2019,5.07
7/9/2019,4.81
7/10/2019,4.52
7/11/2019,4.73
7/12/2019,4.65
7/15/2019,4.82
7/16/2019,4.71
7/17/2019,4.83
7/18/2019,4.88
7/19/2019,4.86
7/22/2019,4.53
7/23/2019,4.87
7/24/2019,5
7/25/2019,5.04
7/26/2019,4.9
7/29/2019,4.9
7/30/2019,4.98
7/31/2019,4.76
8/1/2019,4.85
8/2/2019,4.85
8/5/2019,4.7
8/6/2019,4.77
8/7/2019,4.82
8/8/2019,5.15
8/9/2019,5.5
8/12/2019,5.07
8/13/2019,5.2
8/14/2019,4.85
8/15/2019,5
8/16/2019,4.9
8/19/2019,4.83
8/20/2019,4.9
8/21/2019,4.99
8/22/2019,4.89
8/23/2019,4.89
8/26/2019,4.77
8/27/2019,4.55
8/28/2019,4.7
8/29/2019,4.8
8/30/2019,4.85
9/3/2019,4.9
9/4/2019,4.85
9/5/2019,4.8
9/6/2019,4.98
9/9/2019,4.8
